playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
smilejo01,1990,NLCS,PIT,NL,0,0,1,0,0,0,0,6,2,0,0,0,0,0.25,0,0,0,0,0,8,0,0,0,0,0
smithza01,1990,NLCS,PIT,NL,0,2,2,1,0,0,0,27,14,6,2,1,8,0.35,6,1,0,0,0,42,0,6,1,0,1
stewada01,1990,ALCS,OAK,AL,2,0,2,2,0,0,0,48,8,2,1,2,4,0.148,1.12,0,0,0,0,57,0,2,1,0,1
stewada01,1990,WS,OAK,AL,0,2,2,2,1,0,0,39,10,4,1,6,5,0.222,2.77,0,0,1,0,54,0,6,1,1,1
walkbo01,1990,NLCS,PIT,NL,1,1,2,2,0,0,0,39,11,7,2,2,8,0.239,4.85,0,0,0,0,50,0,7,1,1,1
welchbo01,1990,ALCS,OAK,AL,1,0,1,1,0,0,0,22,6,1,0,3,4,0.222,1.23,0,0,0,0,31,0,1,0,1,1
welchbo01,1990,WS,OAK,AL,0,0,1,1,0,0,0,22,9,4,0,2,2,0.31,4.91,0,0,0,0,31,0,4,0,0,0
youngcu01,1990,WS,OAK,AL,0,0,1,0,0,0,0,3,1,0,0,0,0,0.25,0,0,0,0,0,4,1,0,0,0,0
ackerji01,1991,ALCS,TOR,AL,0,0,1,0,0,0,0,2,1,0,0,0,1,0.333,0,0,0,0,0,3,0,0,0,0,0
aguilri01,1991,ALCS,MIN,AL,0,0,3,0,0,0,3,10,1,0,0,0,3,0.091,0,0,0,0,0,11,3,0,0,0,0
aguilri01,1991,WS,MIN,AL,1,1,4,0,0,0,2,15,6,1,0,1,3,0.316,1.8,0,0,0,0,20,4,1,0,0,0
averyst01,1991,NLCS,ATL,NL,2,0,2,2,0,0,0,49,9,0,0,4,17,0.167,0,0,0,0,0,58,0,0,0,0,3
averyst01,1991,WS,ATL,NL,0,0,2,2,0,0,0,39,10,5,1,1,8,0.208,3.46,0,0,0,0,51,0,6,0,2,1
bedrost01,1991,ALCS,MIN,AL,0,0,2,0,0,0,0,4,3,0,0,2,2,0.5,0,0,0,0,0,9,1,2,0,1,0
bedrost01,1991,WS,MIN,AL,0,0,3,0,0,0,0,10,3,2,0,0,2,0.25,5.4,0,1,0,0,13,1,2,0,1,0
belinst01,1991,NLCS,PIT,NL,1,0,3,0,0,0,0,15,0,0,0,3,4,0,0,0,0,0,0,18,3,0,1,0,0
candito01,1991,ALCS,TOR,AL,0,1,2,2,0,0,0,23,17,7,1,2,5,0.436,8.22,0,1,0,0,42,0,9,1,0,1
clancji01,1991,NLCS,ATL,NL,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
clancji01,1991,WS,ATL,NL,1,0,3,0,0,0,0,13,3,2,1,4,2,0.188,4.15,2,0,0,0,20,1,2,0,0,0
drabedo01,1991,NLCS,PIT,NL,1,1,2,2,1,0,0,45,10,1,0,5,10,0.189,0.6,1,0,0,0,59,0,1,1,0,0
ericksc01,1991,ALCS,MIN,AL,0,0,1,1,0,0,0,12,3,2,1,5,2,0.214,4.5,0,0,0,0,20,0,2,1,0,0
ericksc01,1991,WS,MIN,AL,0,0,2,2,0,0,0,32,10,6,3,4,5,0.233,5.06,0,1,1,0,48,0,7,0,0,0
glavito02,1991,NLCS,ATL,NL,0,2,2,2,0,0,0,42,12,5,1,6,11,0.226,3.21,2,0,0,0,59,0,5,0,0,1
glavito02,1991,WS,ATL,NL,1,1,2,2,1,0,0,40,8,4,2,7,8,0.174,2.7,0,0,0,1,54,0,6,1,0,2
guthrma01,1991,ALCS,MIN,AL,1,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0
guthrma01,1991,WS,MIN,AL,0,1,4,0,0,0,0,12,3,1,0,4,3,0.214,2.25,1,1,0,0,18,0,1,0,0,1
guzmaju01,1991,ALCS,TOR,AL,1,0,1,1,0,0,0,17,4,2,0,4,2,0.2,3.18,0,1,0,0,24,0,2,0,0,1
henketo01,1991,ALCS,TOR,AL,0,0,2,0,0,0,0,8,0,0,0,1,5,0,0,0,0,0,0,9,0,0,0,0,0
keyji01,1991,ALCS,TOR,AL,0,0,1,1,0,0,0,18,5,2,0,1,1,0.227,3,0,0,0,0,23,0,2,0,0,1
kippebo01,1991,NLCS,PIT,NL,0,0,1,0,0,0,0,6,2,1,1,0,1,0.286,4.5,0,0,0,0,7,0,1,0,0,0
landrbi01,1991,NLCS,PIT,NL,0,0,1,0,0,0,0,3,2,1,0,2,2,0.5,9,1,0,0,0,6,0,1,0,0,0
leachte01,1991,WS,MIN,AL,0,0,2,0,0,0,0,7,2,1,0,0,2,0.222,3.86,0,0,0,0,9,0,1,0,0,0
leibrch01,1991,NLCS,ATL,NL,0,0,1,1,0,0,0,20,8,1,0,3,6,0.296,1.35,0,0,0,0,30,0,2,0,0,0
leibrch01,1991,WS,ATL,NL,0,2,2,1,0,0,0,12,8,5,2,1,3,0.444,11.25,0,0,0,0,19,1,5,0,0,0
macdobo01,1991,ALCS,TOR,AL,0,0,1,0,0,0,0,3,1,1,0,1,0,0.333,9,0,0,0,0,5,1,1,0,1,0
