year.key,league.key,team.key,park.key,span.first,span.last,games,openings,attendance
1993,NL,LAN,LOS03,13/04/93,03/10/93,81,81,3164720
1993,AL,ML4,MIL05,12/04/93,29/09/93,81,78,1695077
1993,AL,MIN,MIN03,06/04/93,03/10/93,81,81,2054523
1993,NL,MON,MON02,13/04/93,03/10/93,81,81,1641438
1993,AL,NYA,NYC16,12/04/93,03/10/93,81,80,2416837
1993,NL,NYN,NYC17,05/04/93,30/09/93,81,79,1873115
1993,AL,OAK,OAK01,05/04/93,03/10/93,81,79,2029063
1993,NL,PHI,PHI12,09/04/93,26/09/93,81,80,3137512
1993,NL,PIT,PIT07,06/04/93,30/09/93,81,79,1652922
1993,NL,SDN,SAN01,12/04/93,03/10/93,81,80,1375432
1993,AL,SEA,SEA02,06/04/93,26/09/93,81,81,2052425
1993,NL,SFN,SFO02,12/04/93,29/09/93,81,81,2604635
1993,NL,SLN,STL09,06/04/93,03/10/93,81,81,2840533
1993,AL,TEX,ARL01,09/04/93,03/10/93,81,79,2252616
1993,AL,TOR,TOR02,09/04/93,26/09/93,81,81,4057747
1994,NL,ATL,ATL01,12/04/94,31/07/94,55,54,2534240
1994,AL,BAL,BAL12,04/04/94,31/07/94,55,54,2535359
1994,AL,BOS,BOS07,04/04/94,07/08/94,64,61,1775541
1994,AL,CAL,ANA01,11/04/94,10/08/94,63,63,1512622
1994,AL,CHA,CHI12,08/04/94,31/07/94,53,53,1697448
1994,NL,CHN,CHI11,04/04/94,10/08/94,59,58,1845278
1994,NL,CIN,CIN08,03/04/94,11/08/94,60,60,1897591
1994,AL,CLE,CLE08,04/04/94,04/08/94,51,51,1995474
1994,NL,COL,DEN01,04/04/94,11/08/94,57,56,3281464
1994,AL,DET,DET04,11/04/94,11/08/94,58,57,1184783
1994,NL,FLO,MIA01,12/04/94,11/08/94,59,59,1942377
1994,NL,HOU,HOU02,04/04/94,11/08/94,59,59,1560970
1994,AL,KCA,KAN06,08/04/94,07/08/94,59,57,1400581
1994,NL,LAN,LOS03,05/04/94,04/08/94,55,55,2280140
1994,AL,ML4,MIL05,05/04/94,07/08/94,56,56,1268398
1994,AL,MIN,MIN03,05/04/94,10/08/94,59,59,1398565
1994,NL,MON,MON02,08/04/94,04/08/94,52,52,1276250
1994,AL,NYA,NYC16,04/04/94,11/08/94,57,57,1681507
1994,NL,NYN,NYC17,11/04/94,07/08/94,53,52,1152161
1994,AL,OAK,OAK01,11/04/94,11/08/94,56,56,1240920
1994,NL,PHI,PHI12,11/04/94,11/08/94,60,58,2289963
1994,NL,PIT,PIT07,08/04/94,11/08/94,61,60,1222579
1994,NL,SDN,SAN01,04/04/94,31/07/94,57,57,953886
1994,AL,SEA,SEA02,11/04/94,18/07/94,44,44,1102288
1994,NL,SFN,SFO02,04/04/94,03/08/94,60,59,1704317
1994,NL,SLN,STL09,12/04/94,31/07/94,56,54,1839098
1994,AL,TEX,ARL02,11/04/94,10/08/94,63,62,2502662
1994,AL,TOR,TOR02,04/04/94,10/08/94,59,59,2907949
1995,NL,ATL,ATL01,26/04/95,24/09/95,72,72,2564492
1995,AL,BAL,BAL12,01/05/95,01/10/95,72,72,3101759
1995,AL,BOS,BOS07,26/04/95,27/09/95,72,72,2164401
1995,AL,CAL,ANA01,26/04/95,01/10/95,72,72,1748797
1995,AL,CHA,CHI12,27/04/95,01/10/95,72,71,1609775
1995,NL,CHN,CHI11,28/04/95,01/10/95,72,71,1917546
1995,NL,CIN,CIN08,26/04/95,20/09/95,72,71,1830015
1995,AL,CLE,CLE08,05/05/95,01/10/95,72,71,2842722
1995,NL,COL,DEN02,26/04/95,01/10/95,72,72,3402209
1995,AL,DET,DET04,02/05/95,21/09/95,72,71,1180979
1995,NL,FLO,MIA01,25/04/95,01/10/95,71,70,1697414
1995,NL,HOU,HOU02,28/04/95,27/09/95,72,71,1392683
1995,AL,KCA,KAN06,26/04/95,28/09/95,72,70,1237203
1995,NL,LAN,LOS03,28/04/95,27/09/95,72,72,2766628
1995,AL,ML4,MIL05,26/04/95,01/10/95,72,71,1088220
1995,AL,MIN,MIN03,27/04/95,28/09/95,72,72,1057668
1995,NL,MON,MON02,02/05/95,01/10/95,72,72,1308618
1995,AL,NYA,NYC16,26/04/95,24/09/95,73,70,1709199
1995,NL,NYN,NYC17,28/04/95,01/10/95,72,71,1273186
1995,AL,OAK,OAK01,05/05/95,20/09/95,72,71,1174441
1995,NL,PHI,PHI12,28/04/95,27/09/95,72,71,2048588
1995,NL,PIT,PIT07,26/04/95,20/09/95,72,70,911536
1995,NL,SDN,SAN01,26/04/95,01/10/95,72,71,1052995
1995,AL,SEA,SEA02,27/04/95,02/10/95,73,73,1640379
1995,NL,SFN,SFO02,28/04/95,27/09/95,72,72,1231591
1995,NL,SLN,STL09,26/04/95,01/10/95,72,72,1756061
1995,AL,TEX,ARL02,27/04/95,01/10/95,72,72,1985910
1995,AL,TOR,TOR02,26/04/95,01/10/95,72,72,2826445
1996,NL,ATL,ATL01,01/04/96,23/09/96,81,81,2898806
1996,AL,BAL,BAL12,02/04/96,23/09/96,82,81,3654764
1996,AL,BOS,BOS07,09/04/96,29/09/96,81,81,2315349
1996,AL,CAL,ANA01,02/04/96,25/09/96,81,81,1820183
1996,AL,CHA,CHI12,09/04/96,25/09/96,81,79,1666025
1996,NL,CHN,CHI11,01/04/96,29/09/96,81,78,2219110
1996,NL,CIN,CIN08,02/04/96,26/09/96,81,76,1871459
1996,AL,CLE,CLE08,02/04/96,25/09/96,80,79,3320078
1996,NL,COL,DEN02,08/04/96,29/09/96,81,81,3906328
1996,AL,DET,DET04,09/04/96,29/09/96,81,81,1168610
1996,NL,FLO,MIA01,01/04/96,26/09/96,81,80,1753706
1996,NL,HOU,HOU02,01/04/96,29/09/96,81,81,1977715
1996,AL,KCA,KAN06,05/04/96,29/09/96,80,80,1436006
1996,NL,LAN,LOS03,08/04/96,29/09/96,81,81,3188454
1996,AL,ML4,MIL05,09/04/96,22/09/96,81,78,1327150
1996,AL,MIN,MIN03,01/04/96,29/09/96,82,80,1437446
1996,NL,MON,MON02,05/04/96,29/09/96,81,81,1618571
